,AWB Number,Order ID,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.)
21,1091121485824.0,2001817093.0,1,120,0.12,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
22,1091119367193.0,2001816131.0,2,102,0.204,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
23,1091117323112.0,2001807058.0,1,65,0.065,0.5,1.15,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
24,1091117435134.0,2001808118.0,1,65,0.065,0.5,0.5,1.0,b,b,33.0,33.0,33.0,0.0
25,1091117437680.0,2001808801.0,2,65,0.13,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
26,1091121306101.0,2001820690.0,1,65,0.065,0.5,0.15,0.5,d,d,45.4,45.4,45.4,0.0
27,1091117437050.0,2001808675.0,1,170,0.17,0.5,1.2,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
28,1091120922803.0,2001820978.0,1,350,0.35,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
29,1091117226674.0,2001806733.0,1,165,0.165,0.5,1.13,1.49,d,d,45.4,45.4,135.0,-89.6
30,1091117327474.0,2001807970.0,1,165,0.165,0.5,4.13,4.5,d,d,45.4,45.4,403.8,-358.40000000000003
31,1091121031745.0,2001821679.0,1,165,0.165,0.5,0.2,0.5,d,d,45.4,45.4,45.4,0.0
32,1091121034350.0,2001821750.0,1,165,0.165,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
33,1091122418320.0,2001827036.0,1,165,0.165,0.5,1.6,2.0,b,b,33.0,33.0,117.9,-84.9
34,1091117223244.0,2001806458.0,1,350,0.35,0.5,1.0,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
35,1091117795623.0,2001809820.0,1,350,0.35,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
36,1091118548333.0,2001812854.0,1,350,0.35,0.5,2.94,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
37,1091119630264.0,2001817160.0,1,350,0.35,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
38,1091121485824.0,2001817093.0,1,115,0.115,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
39,1091117224902.0,2001806567.0,1,150,0.15,0.5,1.16,1.49,d,d,45.4,45.4,135.0,-89.6
40,1091117224902.0,2001806567.0,1,120,0.12,0.5,1.16,1.49,d,d,45.4,45.4,135.0,-89.6
41,1091121034641.0,2001821766.0,2,120,0.24,0.5,0.2,0.5,d,d,45.4,45.4,45.4,0.0
42,1091117437050.0,2001808675.0,1,65,0.065,0.5,1.2,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
43,1091120962515.0,2001821284.0,1,65,0.065,0.5,0.2,0.5,d,d,45.4,45.4,45.4,0.0
44,1091117227573.0,2001806776.0,2,137,0.274,0.5,2.86,3.0,b,b,33.0,33.0,174.5,-141.5
45,1091117806263.0,2001810549.0,2,137,0.274,0.5,1.86,2.0,d,d,45.4,45.4,179.8,-134.4
46,1091121981575.0,2001825261.0,3,137,0.411,1.0,1.6,2.0,d,d,44.8,89.6,345.0,-255.4
47,1091122418320.0,2001827036.0,2,137,0.274,0.5,1.6,2.0,b,b,33.0,33.0,117.9,-84.9
48,1091117222124.0,2001806232.0,6,137,0.822,1.0,1.3,1.49,d,d,45.4,90.8,135.0,-44.2
49,1091117225484.0,2001806616.0,1,240,0.24,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
50,1091117327312.0,2001807960.0,1,240,0.24,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
51,1091117327496.0,2001807976.0,1,240,0.24,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
52,1091117806263.0,2001810549.0,1,240,0.24,0.5,1.86,2.0,d,d,45.4,45.4,179.8,-134.4
53,1091121844806.0,2001811475.0,1,240,0.24,0.5,0.5,1.0,b,b,33.0,33.0,33.0,0.0
54,1091118004245.0,2001811604.0,2,240,0.48,1.0,0.8,1.0,b,b,33.0,66.0,61.3,4.700000000000003
55,1091120959225.0,2001821185.0,1,240,0.24,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
56,1091121981575.0,2001825261.0,1,240,0.24,0.5,1.6,2.0,d,d,44.8,44.8,345.0,-300.2
57,1091117223351.0,2001806471.0,1,121,0.121,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
58,1091117225484.0,2001806616.0,1,121,0.121,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
59,1091117227816.0,2001806801.0,1,121,0.121,0.5,1.35,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
60,1091117327496.0,2001807976.0,1,121,0.121,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
61,1091117435602.0,2001808286.0,1,121,0.121,0.5,0.77,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
62,1091117616121.0,2001809592.0,2,121,0.242,0.5,1.5,2.0,b,b,33.0,33.0,89.6,-56.599999999999994
63,1091117803511.0,2001809934.0,1,121,0.121,0.5,0.82,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
64,1091117804200.0,2001810104.0,1,121,0.121,0.5,0.76,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
65,1091117904860.0,2001811039.0,1,121,0.121,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
66,1091118004245.0,2001811604.0,1,121,0.121,0.5,0.8,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
67,1091120014461.0,2001818390.0,1,121,0.121,0.5,0.8,1.0,e,e,55.5,55.5,213.5,-158.0
68,1091120959225.0,2001821185.0,2,121,0.242,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
69,1091117222080.0,2001806229.0,1,127,0.127,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
70,1091117222194.0,2001806273.0,1,127,0.127,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
71,1091117222360.0,2001806304.0,1,127,0.127,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
72,1091117222570.0,2001806338.0,1,127,0.127,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
73,1091117223211.0,2001806446.0,1,127,0.127,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
74,1091117223351.0,2001806471.0,1,127,0.127,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
75,1091117223351.0,2001806471.0,2,127,0.254,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
76,1091117224353.0,2001806533.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
77,1091117224611.0,2001806547.0,1,127,0.127,0.5,1.0,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
78,1091117225016.0,2001806575.0,1,127,0.127,0.5,0.68,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
79,1091117226221.0,2001806652.0,1,127,0.127,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
80,1091117226910.0,2001806726.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
81,1091117226711.0,2001806735.0,1,127,0.127,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
82,1091117227573.0,2001806776.0,1,127,0.127,0.5,2.86,3.0,b,b,33.0,33.0,174.5,-141.5
83,1091117228133.0,2001806823.0,1,127,0.127,0.5,0.59,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
84,1091117228192.0,2001806828.0,1,127,0.127,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
85,1091117229183.0,2001806968.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
86,1091117229290.0,2001807004.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
87,1091117323215.0,2001807084.0,1,127,0.127,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
88,1091117323812.0,2001807186.0,1,127,0.127,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
89,1091117324011.0,2001807241.0,1,127,0.127,0.5,0.79,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
90,1091117324206.0,2001807290.0,1,127,0.127,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
91,1091117333100.0,2001807329.0,1,127,0.127,0.5,0.73,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
92,1091117326424.0,2001807785.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
93,1091117326612.0,2001807814.0,1,127,0.127,0.5,0.79,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
94,1091117326925.0,2001807852.0,1,127,0.127,0.5,0.74,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
95,1091117327172.0,2001807931.0,1,127,0.127,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
96,1091117327275.0,2001807956.0,1,127,0.127,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
97,1091117327570.0,2001807981.0,1,127,0.127,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
98,1091117435370.0,2001808207.0,1,127,0.127,0.5,0.79,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
99,1091117436346.0,2001808475.0,1,127,0.127,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
100,1091117436383.0,2001808507.0,1,127,0.127,0.5,0.79,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
101,1091117436464.0,2001808542.0,2,127,0.254,0.5,0.86,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
102,1091117436652.0,2001808585.0,1,127,0.127,0.5,0.72,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
103,1091117437035.0,2001808679.0,1,127,0.127,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
104,1091117437890.0,2001808837.0,1,127,0.127,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
105,1091117438074.0,2001808883.0,1,127,0.127,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
106,1091117611501.0,2001808992.0,1,127,0.127,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
107,1091117613962.0,2001809270.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
108,1091117614452.0,2001809383.0,1,127,0.127,0.5,0.5,1.0,d,d,44.8,44.8,86.7,-41.900000000000006
109,1091117616121.0,2001809592.0,1,127,0.127,0.5,1.5,2.0,b,b,33.0,33.0,89.6,-56.599999999999994
110,1091117795623.0,2001809820.0,1,127,0.127,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
111,1091117804314.0,2001810125.0,1,127,0.127,0.5,0.66,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
112,1091117805390.0,2001810281.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
113,1091117807140.0,2001810697.0,1,127,0.127,0.5,2.27,3.0,d,d,45.4,45.4,224.6,-179.2
114,1091117904860.0,2001811039.0,1,127,0.127,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
115,1091117905022.0,2001811058.0,1,127,0.127,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
116,1091117957533.0,2001811153.0,1,127,0.127,0.5,0.76,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
117,1091118001865.0,2001811466.0,1,127,0.127,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
118,1091121844806.0,2001811475.0,1,127,0.127,0.5,0.5,1.0,b,b,33.0,33.0,33.0,0.0
119,1091118009786.0,2001811809.0,1,127,0.127,0.5,0.5,1.0,d,d,44.8,44.8,86.7,-41.900000000000006
120,1091118442390.0,2001812195.0,1,127,0.127,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
121,1091118551656.0,2001812941.0,1,127,0.127,0.5,0.73,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
122,1091118553701.0,2001813009.0,1,127,0.127,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
123,1091118925110.0,2001814580.0,1,127,0.127,0.5,0.15,0.5,d,d,44.8,44.8,86.7,-41.900000000000006
124,1091119429202.0,2001816996.0,1,127,0.127,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
125,1091120352712.0,2001819252.0,1,127,0.127,0.5,0.3,0.5,b,b,33.0,33.0,33.0,0.0
126,1091121183730.0,2001821995.0,1,127,0.127,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
127,1091122418320.0,2001827036.0,1,127,0.127,0.5,1.6,2.0,b,b,33.0,33.0,117.9,-84.9
128,1091117225484.0,2001806616.0,1,120,0.12,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
129,1091117323112.0,2001807058.0,1,120,0.12,0.5,1.15,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
130,1091117325094.0,2001807415.0,1,120,0.12,0.5,1.0,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
131,1091117327496.0,2001807976.0,1,120,0.12,0.5,0.7,1.0,d,d,44.8,44.8,172.8,-128.0
132,1091117224902.0,2001806567.0,1,160,0.16,0.5,1.16,1.49,d,d,45.4,45.4,135.0,-89.6
133,1091117795531.0,2001809794.0,1,232,0.232,0.5,1.5,2.0,d,d,45.4,45.4,135.0,-89.6
134,1091117795623.0,2001809820.0,1,232,0.232,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
135,1091117806263.0,2001810549.0,1,232,0.232,0.5,1.86,2.0,d,d,45.4,45.4,179.8,-134.4
136,1091117323112.0,2001807058.0,1,113,0.113,0.5,1.15,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
137,1091117435134.0,2001808118.0,1,113,0.113,0.5,0.5,1.0,b,b,33.0,33.0,33.0,0.0
138,1091117958395.0,2001811363.0,1,113,0.113,0.5,0.59,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
139,1091117222065.0,2001806226.0,2,240,0.48,1.0,0.68,1.0,d,d,45.4,90.8,90.2,0.5999999999999943
140,1091117222080.0,2001806229.0,1,240,0.24,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
141,1091117222194.0,2001806273.0,1,240,0.24,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
142,1091117222360.0,2001806304.0,1,240,0.24,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
143,1091117222570.0,2001806338.0,1,240,0.24,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
144,1091117223211.0,2001806446.0,1,240,0.24,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
145,1091117223351.0,2001806471.0,1,240,0.24,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
146,1091117223351.0,2001806471.0,2,240,0.48,1.0,1.7,2.0,d,d,45.4,90.8,179.8,-89.00000000000001
147,1091117224353.0,2001806533.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
148,1091117225016.0,2001806575.0,1,240,0.24,0.5,0.68,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
149,1091117226221.0,2001806652.0,1,240,0.24,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
150,1091117226910.0,2001806726.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
151,1091117226674.0,2001806733.0,1,240,0.24,0.5,1.13,1.49,d,d,45.4,45.4,135.0,-89.6
152,1091117226711.0,2001806735.0,1,240,0.24,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
153,1091117227816.0,2001806801.0,1,240,0.24,0.5,1.35,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
154,1091117228192.0,2001806828.0,1,240,0.24,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
155,1091117229183.0,2001806968.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
156,1091117229290.0,2001807004.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
157,1091117323215.0,2001807084.0,1,240,0.24,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
158,1091117323812.0,2001807186.0,1,240,0.24,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
159,1091117324011.0,2001807241.0,1,240,0.24,0.5,0.79,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
160,1091117324206.0,2001807290.0,1,240,0.24,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
161,1091117333100.0,2001807329.0,1,240,0.24,0.5,0.73,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
162,1091117325094.0,2001807415.0,2,240,0.48,1.0,1.0,1.0,b,b,33.0,66.0,61.3,4.700000000000003
163,1091117326424.0,2001807785.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
164,1091117326612.0,2001807814.0,1,240,0.24,0.5,0.79,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
165,1091117326925.0,2001807852.0,1,240,0.24,0.5,0.74,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
166,1091117327172.0,2001807931.0,1,240,0.24,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
167,1091117327275.0,2001807956.0,1,240,0.24,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
168,1091117327312.0,2001807960.0,1,240,0.24,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
169,1091117327570.0,2001807981.0,1,240,0.24,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
170,1091117435370.0,2001808207.0,1,240,0.24,0.5,0.79,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
171,1091117435602.0,2001808286.0,1,240,0.24,0.5,0.77,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
172,1091117436346.0,2001808475.0,1,240,0.24,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
173,1091117436383.0,2001808507.0,1,240,0.24,0.5,0.79,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
174,1091117436652.0,2001808585.0,1,240,0.24,0.5,0.72,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
175,1091117437035.0,2001808679.0,1,240,0.24,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
176,1091117437890.0,2001808837.0,1,240,0.24,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
177,1091117438074.0,2001808883.0,1,240,0.24,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
178,1091117611501.0,2001808992.0,1,240,0.24,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
179,1091117613962.0,2001809270.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
180,1091117614452.0,2001809383.0,1,240,0.24,0.5,0.5,1.0,d,d,44.8,44.8,86.7,-41.900000000000006
181,1091117616121.0,2001809592.0,1,240,0.24,0.5,1.5,2.0,b,b,33.0,33.0,89.6,-56.599999999999994
182,1091117795623.0,2001809820.0,1,240,0.24,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
183,1091117803511.0,2001809934.0,1,240,0.24,0.5,0.82,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
184,1091117804200.0,2001810104.0,1,240,0.24,0.5,0.76,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
185,1091117804314.0,2001810125.0,1,240,0.24,0.5,0.66,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
186,1091117805390.0,2001810281.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
187,1091117807140.0,2001810697.0,1,240,0.24,0.5,2.27,3.0,d,d,45.4,45.4,224.6,-179.2
188,1091117904860.0,2001811039.0,1,240,0.24,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
189,1091117905022.0,2001811058.0,1,240,0.24,0.5,0.72,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
190,1091117957533.0,2001811153.0,1,240,0.24,0.5,0.76,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
191,1091118001865.0,2001811466.0,1,240,0.24,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
192,1091118009786.0,2001811809.0,1,240,0.24,0.5,0.5,1.0,d,d,44.8,44.8,86.7,-41.900000000000006
193,1091118442390.0,2001812195.0,1,240,0.24,0.5,0.67,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
194,1091118551656.0,2001812941.0,1,240,0.24,0.5,0.73,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
195,1091118553701.0,2001813009.0,1,240,0.24,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
196,1091119429202.0,2001816996.0,1,240,0.24,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
197,1091120959225.0,2001821185.0,1,240,0.24,0.5,2.1,2.5,d,d,45.4,45.4,224.6,-179.2
198,1091121034350.0,2001821750.0,1,240,0.24,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
199,1091117225484.0,2001806616.0,1,120,0.12,0.5,1.08,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
200,1091117795531.0,2001809794.0,1,120,0.12,0.5,1.5,2.0,d,d,45.4,45.4,135.0,-89.6
201,1091119398844.0,2001816684.0,4,120,0.48,1.0,0.99,1.0,d,d,44.8,89.6,172.8,-83.20000000000002
202,1091120014461.0,2001818390.0,4,120,0.48,1.0,0.8,1.0,e,e,55.5,111.0,213.5,-102.5
203,1091117221940.0,2001806210.0,1,100,0.1,0.5,2.92,3.0,b,b,33.0,33.0,174.5,-141.5
204,1091117222931.0,2001806408.0,1,100,0.1,0.5,2.5,2.5,d,d,45.4,45.4,224.6,-179.2
205,1091117437293.0,2001808739.0,1,100,0.1,0.5,1.63,2.0,d,d,45.4,45.4,179.8,-134.4
206,1091117795623.0,2001809820.0,1,100,0.1,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
207,1091117957780.0,2001811192.0,1,100,0.1,0.5,1.13,1.49,d,d,44.8,44.8,258.9,-214.09999999999997
208,1091117957942.0,2001811229.0,1,100,0.1,0.5,0.6,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
209,1091118553701.0,2001813009.0,1,100,0.1,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
210,1091119169701.0,2001815688.0,1,100,0.1,0.5,0.2,0.5,d,d,45.4,45.4,45.4,0.0
211,1091119398844.0,2001816684.0,2,100,0.2,0.5,0.99,1.0,d,d,44.8,44.8,172.8,-128.0
212,1091121485824.0,2001817093.0,1,100,0.1,0.5,1.3,1.49,b,b,28.3,28.3,151.1,-122.8
213,1091117324346.0,2001807328.0,1,490,0.49,1.0,2.28,3.0,d,d,45.4,90.8,224.6,-133.8
214,1091117222080.0,2001806229.0,1,133,0.133,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
215,1091117222194.0,2001806273.0,1,133,0.133,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
216,1091117222360.0,2001806304.0,1,133,0.133,0.5,0.71,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
217,1091117222570.0,2001806338.0,1,133,0.133,0.5,0.7,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
218,1091117223211.0,2001806446.0,1,133,0.133,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
219,1091117223351.0,2001806471.0,1,133,0.133,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
220,1091117223351.0,2001806471.0,2,133,0.266,0.5,1.7,2.0,d,d,45.4,45.4,179.8,-134.4
221,1091117224353.0,2001806533.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
222,1091117225016.0,2001806575.0,1,133,0.133,0.5,0.68,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
223,1091117226221.0,2001806652.0,1,133,0.133,0.5,0.69,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
224,1091117226910.0,2001806726.0,1,133,0.133,0.5,0.68,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
